Gene;alias
AFAP1;AFAP-110
AFAP1;AFAP
AFAP1-AS1;AFAP1AS
AFAP1-AS1;AFAP1-AS
AFAP1-AS1;MGC10981
AFAP1L1;FLJ36748
AFAP1L2;KIAA1914
AFAP1L2;FLJ14564
AFAP1L2;Em:AC005383.4
AFAP1L2;XB130
AFDN;MLLT4
AFDN;AF-6
AFDN;AF6
AFDN-AS1;C6orf124
AFDN-AS1;MLLT4-AS1
AFDN-AS1;HGC6.4
AFDN-AS1;dJ431P23.3
AFF1;PBM1
AFF1;MLLT2
AFF1;AF-4
AFF1;AF4
AFF2;FMR2
AFF2;FRAXE
AFF3;LAF4
AFF3;MLLT2-like
AFF4;AF5Q31
AFF4;MCEF
AFG3L1P;AFG3
AFG3L1P;AFG3L1
AFG3L2;SCA28
AFG3L2;SPAX5
AFG3L2P1;AFG3L2P
AFM;ALB2
AFM;ALBA
AFMID;DKFZp686F03259
AFMID;KF
AFP;HPAFP
AFP;FETA
AFTPH;MGC33965
AFTPH;FLJ20080
AFTPH;FLJ23793
AFTPH;Nbla10388
AGA;ASRG
AGAP1;CENTG2
AGAP1;KIAA1099
AGAP1;GGAP1
AGAP2;CENTG1
AGAP2-AS1;LOC100130776
AGAP2-AS1;PUNISHER
AGAP3;CENTG3
AGAP4;CTGLF1
AGAP4;AGAP8
AGAP4;CTGLF5
AGAP4;Em:AC012044.1
AGAP4;MRIP2
AGAP5;CTGLF2
AGAP5;Em:AC073389.1
AGAP6;CTGLF3
AGAP6;bA324H6.1
AGAP7P;CTGLF4
AGAP7P;AGAP7
AGAP7P;bA109G10.1
AGAP9;CTGLF6
AGAP9;bA301J7.2
AGAP9;FLJ00312
AGAP10P;AGAP10
AGAP10P;CTGLF7
AGAP10P;CTGLF10P
AGAP10P;bA358L16.1
AGAP10P;bA144G6.2
AGAP11;KIAA1975
AGAP12P;CTGLF12P
AGAP12P;bA164N7.2
AGAP13P;CTGLF9P
AGAP13P;bA548K23.1
AGAP14;CTGLF11P
AGAP14;AGAP14P
AGAP14;bA145E20.1
AGBL1;FLJ32310
AGBL1;CCP4
AGBL2;FLJ23598
AGBL2;CCP2
AGBL3;MGC32955
AGBL3;CCP3
AGBL4;FLJ14442
AGBL4;CCP6
AGBL5;FLJ21839
AGBL5;CCP5
AGER;RAGE
AGER;SCARJ1
AGFG1;HRB
AGFG1;RIP
AGFG1;RAB
AGFG2;HRBL
AGFG2;RABR
AGGF1;VG5Q
AGGF1;HSU84971
AGGF1;FLJ10283
AGGF1;GPATC7
AGGF1;GPATCH7
AGK;MULK
AGK;FLJ10842
AGKP1;AGKY1
AGMAT;FLJ23384
AGMO;TMEM195
AGMO;FLJ16237
AGO1;EIF2C1
AGO1;hAGO1
AGO2;EIF2C2
AGO2;CASC7
AGO2;hAGO2
AGO2;Q10
AGO2;LINC00980
AGO3;EIF2C3
AGO3;hAGO3
AGO3;FLJ12765
AGO4;EIF2C4
AGO4;hAGO4
AGO4;KIAA1567
AGO4;FLJ20033
AGPAT1;LPAAT-alpha
AGPAT2;BSCL
AGPAT2;LPAAT-beta
AGPAT3;LPAAT-gamma
AGPAT4;LPAAT-delta
AGPAT4;dJ473J16.2
AGPAT4-IT1;C6orf59
AGPAT4-IT1;NCRNA00241
AGPAT4-IT1;FLJ23112
AGPAT5;FLJ11210
AGPAT5;LPAAT-e
AGPAT5;LPAAT-epsilon
